Pin (dBm),Pin(W),AM_IN (V),Pout(dBm),Pout(W),AM_OUT (V),"Vout_phase
PM_OUT(deg)",,,,
-30.45,9.01571E-07,0.00949511,11.15,0.013031668,1.141563305,-64.47,,,,
-29.46,1.1324E-06,0.01064143,12.15,0.016405898,1.280855095,-63.17,,,,
-28.45,1.42889E-06,0.011953635,13.16,0.020701413,1.438798578,-61.79,,,,
-27.46,1.79473E-06,0.013396767,14.14,0.025941794,1.610645635,-60.67,,,,
-26.46,2.25944E-06,0.01503142,15.11,0.032433962,1.800943134,-59.74,,,,
-25.44,2.85759E-06,0.016904409,16.1,0.040738028,2.018366364,-58.56,,,,
-24.44,3.59749E-06,0.018967059,17.05,0.050699071,2.251645417,-57.42,,,,
-23.45,4.51856E-06,0.021256903,17.97,0.062661386,2.503225648,-57.22,,,,
-22.45,5.68853E-06,0.023850638,18.91,0.077803655,2.789330656,-57.07,,,,
-21.45,7.16143E-06,0.026760856,19.81,0.095719407,3.093855315,-56.86,,,,
-20.44,9.03649E-06,0.030060763,20.72,0.118032064,3.435579479,-56.71,,,,
-19.44,1.13763E-05,0.033728731,21.61,0.144877185,3.806273576,-56.62,,,,
-18.44,1.43219E-05,0.037844258,22.49,0.177418948,4.212112868,-56.57,,,,
-17.44,1.80302E-05,0.042461956,23.35,0.216271852,4.650503762,-56.38,,,,
-16.46,2.25944E-05,0.047533523,24.2,0.263026799,5.12861384,-56.2,,,,
-15.45,2.85102E-05,0.053394927,25.07,0.321366054,5.668915715,-56.11,,,,
-14.45,3.58922E-05,0.059910094,25.92,0.390840896,6.251726928,-55.95,,,,
-13.44,4.52898E-05,0.067297666,26.75,0.473151259,6.878599123,-55.96,,,,
-12.45,5.68853E-05,0.07542234,27.49,0.561047976,7.490313585,-56.46,,,,
-11.45,7.16143E-05,0.084625257,28.03,0.635330932,7.970764906,-58.01,,,,
-10.45,9.01571E-05,0.0949511,28.28,0.672976656,8.203515443,-60.85,,,,
-9.459,0.000113266,0.106426554,28.43,0.696626514,8.346415483,-63.61,,,,
-8.446,0.000143021,0.119591414,28.66,0.734513868,8.570378452,-65.39,,,,
-7.456,0.000179639,0.134029377,29.11,0.814704284,9.026097075,-66.28,,,,
-6.465,0.000225684,0.150227694,30.04,1.009252886,10.0461579,-66.29,,,,
-5.436,0.000286022,0.169121959,31.28,1.342764961,11.58777356,-67.34,,,,
-4.441,0.000359667,0.189648757,31.65,1.462177174,12.09205183,-69.51,,,,
-3.455,0.000451336,0.212446705,31.82,1.52054753,12.33104833,-71.55,,,,
-2.443,0.000569771,0.23869867,31.95,1.56675107,12.51699273,-73.03,,,,
-1.453,0.000715649,0.267516147,32.04,1.599558029,12.64736347,-74.26,,,,
-0.4443,0.000902755,0.30045885,32.11,1.625548756,12.749701,-75.25,,,,
,,,,,,,,,,
